page_id,slug,seo_title,title_len,meta_description,desc_len
3072,mouse-rat-bedding,Mouse & Rat Bedding Options | Innovive,38,Explore Innovive bedding options for disposable mouse and rat caging — pre-bedded configurations that keep housing research-ready and wash-free.,144
3020,mouse-transportation-cart,Innocart Mouse Transportation Cart | Innovive,45,"The Innocart safely transports Innovive disposable mouse caging across your facility — a stable, mobile solution built for IVC mouse racks.",139
3265,patents-2-2,Patents | Innovive,18,View the patents behind Innovive's research-ready disposable IVC caging and vivarium innovations.,97
2314,privacy-policy,Privacy Policy | Innovive,25,"Read the Innovive privacy policy covering how we collect, use, and protect information on innovive.com.",103
2178,r-innorichment,R-Innorichment Rat Enrichment | Innovive,40,R-Innorichment provides nesting and enrichment for Innovive disposable rat caging — supporting animal welfare in a wash-free IVC system.,136
2195,r-loft-t,R-LOFT-T Rat Cage Loft | Innovive,33,"The R-LOFT-T adds vertical space and enrichment to Innovive disposable rat caging, giving rats more room while keeping housing wash-free and research-ready.",156
2690,rat-caging,Disposable Rat Caging Systems | Innovive,40,Innovive disposable rat caging arrives research-ready — pre-bedded and pre-filled IVC rat cages that eliminate cage wash and reduce contamination risk.,151
3964,rat-caging-btm,Disposable Rat Cage Bottoms | Innovive,38,"Innocage disposable rat cage bottoms deliver consistent, wash-free rodent housing. Available in standard and tall configurations for IVC rat racks.",147
696,rat-feeders,Disposable Rat Cage Feeders | Innovive,38,"Innovive disposable rat feeders offer wash-free, consistent feed delivery for Innocage IVC rat caging. Multiple food-tray options for every application.",152
2226,rat-lid,Disposable Rat Cage Lids | Innovive,35,"Innovive disposable rat cage lids complete the Innocage system — filtered, wash-free lids engineered for biosecurity and consistent airflow in IVC rat racks.",157
3293,rat-racks,Innorack IVC Rat Rack Systems | Innovive,40,"Compare Innovive's IVC rat rack systems. Individually ventilated, disposable rat caging that eliminates cage wash and streamlines rodent housing.",145
3335,recycling-eu,Closed-Loop Cage Recycling (EU) | Innovive,42,"Innovive's EU closed-loop recycling program keeps used disposable caging out of landfill, supporting sustainable vivarium operations across Europe.",147
4055,regional-distributors,Global Distributors & Regional Partners | Innovive,50,"Find your regional Innovive distributor. Authorized partners deliver disposable IVC caging and vivarium solutions across Asia, Europe, and the Americas.",152
13,research-ready,Research-Ready Disposable IVC Caging | Innovive,47,"Innovive caging arrives empty, pre-bedded, pre-filled and pre-enriched — research-ready from day one, eliminating cage wash and reducing contamination risk.",156
3175,sustainability,"Sustainable, Recyclable Vivarium Caging | Innovive",50,Innovive's closed-loop recycling turns used disposable caging into new products — a greener vivarium that advances laboratory sustainability goals.,147
3349,system-benefits,Benefits of the Innovive Disposable IVC System,46,"Discover the benefits of Innovive disposable IVC caging: improved biosecurity, animal welfare, ergonomics, sustainability, and lower vivarium operating costs.",158
2025,tall-rat-01,Innorack Tall IVC Rat Rack | Innovive,37,"The Innorack Tall IVC rat rack gives larger rats extra headroom with disposable, individually ventilated caging — wash-free rodent housing for research.",152
2522,tall-rat-xl,Innorack Tall IVC Rat XL Rack | Innovive,40,"The Innorack Tall IVC Rat XL rack houses the largest rats in disposable, individually ventilated caging — extra height and volume, wash-free and research-ready.",160
1405,team,Our Leadership Team | Innovive,30,Meet the Innovive leadership team behind the industry's research-ready disposable IVC caging systems and Inno+ vivarium management services.,140
2347,terms-and-conditions,Terms & Conditions | Innovive,29,Read the terms and conditions governing use of the Innovive website and services.,81
3450,video-training,Video Training & Tutorials | Innovive,37,"Watch Innovive video training and tutorials on setting up and using disposable IVC caging, racks, and the Inno+ vivarium workflow.",130
